title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale
Call of Duty: Advanced Warfare    ,PS4,7.53m,2.84m,3.34m,0.14m,1.22m
Call of Duty: World at War    ,X360,7.50m,4.88m,1.91m,N/A,0.71m
Super Mario Bros. 2    ,NES,7.46m,5.39m,1.18m,0.70m,0.19m
Call of Duty: Black Ops 3    ,XOne,7.37m,4.63m,2.04m,0.02m,0.68m
Battlefield 3    ,X360,7.35m,4.47m,2.12m,0.06m,0.69m
Battlefield 1    ,PS4,7.26m,2.20m,3.65m,0.29m,1.12m
Battlefield 3    ,PS3,7.21m,2.86m,2.94m,0.35m,1.07m
Just Dance    ,Wii,7.21m,3.48m,2.99m,N/A,0.73m
Need for Speed Underground    ,PS2,7.20m,3.27m,2.83m,0.08m,1.02m
The Legend of Zelda: Twilight Princess    ,Wii,7.18m,3.74m,2.16m,0.60m,0.69m
Tekken 3    ,PS,7.16m,3.27m,2.22m,1.40m,0.29m
Pokémon: Ultra Sun and Ultra Moon    ,3DS,7.15m,2.46m,1.74m,2.55m,0.40m
Crash Bandicoot 3: Warped    ,PS,7.13m,3.68m,1.75m,1.42m,0.28m
Super Smash Bros. Melee    ,GC,7.07m,4.41m,1.04m,1.39m,0.22m
Splatoon 2    ,NS,7.04m,1.90m,1.80m,3.01m,0.34m
Mario Kart: Double Dash!!    ,GC,6.95m,4.12m,1.77m,0.87m,0.19m
Need for Speed Underground 2    ,PS2,6.90m,2.71m,3.02m,0.08m,1.09m
Just Dance 4    ,Wii,6.89m,4.05m,2.21m,N/A,0.62m
Uncharted 3: Drake's Deception    ,PS3,6.84m,2.77m,2.81m,0.19m,1.06m
Medal of Honor: Frontline    ,PS2,6.83m,2.93m,2.75m,0.17m,0.99m
Crash Bandicoot    ,PS,6.82m,3.23m,2.35m,0.94m,0.30m
The Last of Us Remastered    ,PS4,6.77m,2.70m,2.86m,0.11m,1.10m
Zumba Fitness    ,Wii,6.76m,3.47m,2.62m,N/A,0.67m
Gears of War 2    ,X360,6.75m,4.15m,1.91m,0.06m,0.64m
Uncharted 2: Among Thieves    ,PS3,6.74m,3.28m,2.22m,0.21m,1.02m
Call of Duty 4: Modern Warfare    ,PS3,6.72m,3.13m,2.27m,0.28m,1.04m
FIFA Soccer 12    ,PS3,6.65m,0.84m,4.33m,0.11m,1.37m
Big Brain Academy    ,DS,6.63m,1.66m,2.75m,1.60m,0.62m
FIFA 14    ,PS3,6.61m,0.79m,4.77m,0.07m,0.98m
Red Dead Redemption    ,PS3,6.57m,2.82m,2.58m,0.17m,1.00m
The Legend of Zelda    ,NES,6.51m,3.74m,0.93m,1.69m,0.14m
Donkey Kong Country Returns    ,Wii,6.50m,3.19m,1.81m,1.03m,0.47m
Assassin's Creed III    ,PS3,6.50m,2.65m,2.61m,0.16m,1.08m
Red Dead Redemption    ,X360,6.50m,3.77m,2.03m,0.09m,0.60m
The Elder Scrolls V: Skyrim    ,PS3,6.49m,2.57m,2.68m,0.25m,0.99m
Halo: Combat Evolved    ,XB,6.43m,4.98m,1.30m,0.08m,0.07m
Pokémon Emerald Version    ,GBA,6.41m,2.57m,1.58m,2.06m,0.21m
Kingdom Hearts    ,PS2,6.40m,3.64m,1.20m,1.49m,0.07m
Pokémon Crystal Version    ,GBC,6.39m,2.55m,1.56m,1.29m,0.99m
World of Warcraft    ,PC,6.35m,0.12m,6.24m,N/A,N/A
Halo 3: ODST    ,X360,6.35m,4.34m,1.34m,0.06m,0.61m
Minecraft    ,PS4,6.33m,1.89m,3.13m,0.35m,0.96m
FIFA 15    ,PS4,6.32m,0.83m,4.49m,0.05m,0.94m
Super Mario Sunshine    ,GC,6.31m,4.01m,1.26m,0.87m,0.17m
Street Fighter II: The World Warrior    ,SNES,6.30m,2.47m,0.83m,2.87m,0.12m
The Last of Us    ,PS3,6.27m,2.41m,2.57m,0.29m,0.99m
Driver    ,PS,6.27m,3.11m,2.80m,0.02m,0.33m
Call of Duty: WWII    ,XOne,6.23m,3.75m,1.91m,N/A,0.57m
Kinect Sports    ,X360,6.23m,3.92m,1.73m,0.03m,0.55m
Gears of War 3    ,X360,6.22m,4.05m,1.59m,0.07m,0.50m
God of War (2018)    ,PS4,6.15m,2.83m,2.17m,0.13m,1.02m
Gears of War    ,X360,6.09m,3.54m,1.88m,0.07m,0.60m
Minecraft    ,PS3,6.05m,2.21m,2.86m,N/A,0.99m
Metal Gear Solid 2: Sons of Liberty    ,PS2,6.05m,2.45m,2.01m,0.87m,0.72m
Sonic the Hedgehog 2    ,GEN,6.03m,4.47m,1.20m,0.16m,0.19m
Metal Gear Solid    ,PS,6.03m,3.18m,1.83m,0.78m,0.24m
Metal Gear Solid 4: Guns of the Patriots    ,PS3,6.00m,2.63m,1.72m,0.83m,0.81m
Final Fantasy XII    ,PS2,5.95m,1.88m,0.00m,2.33m,1.74m
Tomodachi Life    ,3DS,5.88m,0.97m,2.64m,1.98m,0.28m
LittleBigPlanet    ,PS3,5.85m,2.80m,2.01m,0.17m,0.87m
Horizon: Zero Dawn    ,PS4,5.82m,2.20m,2.43m,0.28m,0.92m
